,Ind,Tru,Sampled Ancestors Turnover,ident
0,0,9.85,9.88196170048,Sampled Ancestor Model
1,0,9.85,10.2484604508,Sampled Ancestor Model
2,0,9.85,9.85402667854,Sampled Ancestor Model
3,0,9.85,9.89282460816,Sampled Ancestor Model
4,0,9.85,10.007004633,Sampled Ancestor Model
5,0,9.85,9.90158659717,Sampled Ancestor Model
6,0,9.85,9.85825195546,Sampled Ancestor Model
7,0,9.85,10.2245897866,Sampled Ancestor Model
8,0,9.85,9.92805156412,Sampled Ancestor Model
9,0,9.85,9.89900370327,Sampled Ancestor Model
10,0,9.85,10.0183434906,Sampled Ancestor Model
11,0,9.85,9.85753353949,Sampled Ancestor Model
12,0,9.85,10.2897603329,Sampled Ancestor Model
13,0,9.85,9.93486370809,Sampled Ancestor Model
14,0,9.85,10.0326991374,Sampled Ancestor Model
15,0,9.85,9.98443103423,Sampled Ancestor Model
16,0,9.85,9.82774844318,Sampled Ancestor Model
17,0,9.85,10.0983036027,Sampled Ancestor Model
18,0,9.85,9.88920431459,Sampled Ancestor Model
19,0,9.85,10.0866582016,Sampled Ancestor Model
20,0,9.85,10.0022593914,Sampled Ancestor Model
21,0,9.85,10.0335667685,Sampled Ancestor Model
22,0,9.85,9.92944839698,Sampled Ancestor Model
23,0,9.85,10.0604565264,Sampled Ancestor Model
24,0,9.85,9.89819027097,Sampled Ancestor Model
25,0,9.85,9.95075393928,Sampled Ancestor Model
26,0,9.85,9.92156318259,Sampled Ancestor Model
27,0,9.85,10.1084200764,Sampled Ancestor Model
28,0,9.85,10.0203136606,Sampled Ancestor Model
29,0,9.85,9.89392202614,Sampled Ancestor Model
30,0,9.85,10.0073726461,Sampled Ancestor Model
31,0,9.85,10.1329773934,Sampled Ancestor Model
32,0,9.85,10.0044293687,Sampled Ancestor Model
33,0,9.85,10.0421953909,Sampled Ancestor Model
34,0,9.85,10.0178339214,Sampled Ancestor Model
35,0,9.85,9.92585447514,Sampled Ancestor Model
36,0,9.85,9.89204194269,Sampled Ancestor Model
37,0,9.85,9.93596158652,Sampled Ancestor Model
38,0,9.85,9.95379084148,Sampled Ancestor Model
39,0,9.85,10.2727319988,Sampled Ancestor Model
40,0,9.85,10.0271851019,Sampled Ancestor Model
41,0,9.85,10.776371387,Sampled Ancestor Model
42,0,9.85,10.1784400812,Sampled Ancestor Model
43,0,9.85,10.1025125494,Sampled Ancestor Model
44,0,9.85,9.93025440148,Sampled Ancestor Model
45,0,9.85,9.96108258979,Sampled Ancestor Model
46,0,9.85,9.85981526047,Sampled Ancestor Model
47,0,9.85,9.87860675981,Sampled Ancestor Model
48,0,9.85,10.0278889434,Sampled Ancestor Model
49,0,9.85,9.89303660465,Sampled Ancestor Model
0,0,9.89,15.9082901117,Sampled Ancestor Model
1,0,9.89,15.4205052608,Sampled Ancestor Model
2,0,9.89,17.3346145262,Sampled Ancestor Model
3,0,9.89,14.8240795939,Sampled Ancestor Model
4,0,9.89,16.0751883278,Sampled Ancestor Model
5,0,9.89,16.0244512866,Sampled Ancestor Model
6,0,9.89,15.397430401,Sampled Ancestor Model
7,0,9.89,15.6684467835,Sampled Ancestor Model
8,0,9.89,18.3461792785,Sampled Ancestor Model
9,0,9.89,15.9145603135,Sampled Ancestor Model
10,0,9.89,16.4228575492,Sampled Ancestor Model
11,0,9.89,16.6273129562,Sampled Ancestor Model
12,0,9.89,15.013070631,Sampled Ancestor Model
13,0,9.89,15.3836835201,Sampled Ancestor Model
14,0,9.89,15.2700676728,Sampled Ancestor Model
15,0,9.89,16.188579228,Sampled Ancestor Model
16,0,9.89,16.4248980723,Sampled Ancestor Model
17,0,9.89,15.8344695367,Sampled Ancestor Model
18,0,9.89,15.5023792349,Sampled Ancestor Model
19,0,9.89,15.9228661995,Sampled Ancestor Model
20,0,9.89,15.6673730951,Sampled Ancestor Model
21,0,9.89,15.344553715,Sampled Ancestor Model
22,0,9.89,14.8280074805,Sampled Ancestor Model
23,0,9.89,15.5018896225,Sampled Ancestor Model
24,0,9.89,15.2451730656,Sampled Ancestor Model
25,0,9.89,16.7694350973,Sampled Ancestor Model
26,0,9.89,15.4507050146,Sampled Ancestor Model
27,0,9.89,16.1374417892,Sampled Ancestor Model
28,0,9.89,16.1158754672,Sampled Ancestor Model
29,0,9.89,14.48451649,Sampled Ancestor Model
30,0,9.89,15.8045109008,Sampled Ancestor Model
31,0,9.89,15.421492774,Sampled Ancestor Model
32,0,9.89,15.4343971485,Sampled Ancestor Model
33,0,9.89,15.2411802132,Sampled Ancestor Model
34,0,9.89,15.2367178512,Sampled Ancestor Model
35,0,9.89,15.6205043861,Sampled Ancestor Model
36,0,9.89,15.2864623388,Sampled Ancestor Model
37,0,9.89,16.0396899106,Sampled Ancestor Model
38,0,9.89,16.1779824481,Sampled Ancestor Model
39,0,9.89,16.3155079469,Sampled Ancestor Model
40,0,9.89,15.5988730055,Sampled Ancestor Model
41,0,9.89,15.6657369844,Sampled Ancestor Model
42,0,9.89,15.3786104528,Sampled Ancestor Model
43,0,9.89,14.8356744151,Sampled Ancestor Model
44,0,9.89,16.379436956,Sampled Ancestor Model
45,0,9.89,16.7126296,Sampled Ancestor Model
46,0,9.89,17.346688288,Sampled Ancestor Model
0,0,13.21,12.8981353287,Sampled Ancestor Model
1,0,13.21,12.9226930731,Sampled Ancestor Model
2,0,13.21,12.9213907958,Sampled Ancestor Model
3,0,13.21,12.9083909976,Sampled Ancestor Model
4,0,13.21,12.8972643026,Sampled Ancestor Model
5,0,13.21,12.9264693347,Sampled Ancestor Model
6,0,13.21,12.8893372326,Sampled Ancestor Model
7,0,13.21,12.7955583799,Sampled Ancestor Model
8,0,13.21,12.9594714387,Sampled Ancestor Model
9,0,13.21,12.9572753876,Sampled Ancestor Model
10,0,13.21,12.9090686375,Sampled Ancestor Model
11,0,13.21,12.9106949891,Sampled Ancestor Model
12,0,13.21,12.9108502817,Sampled Ancestor Model
13,0,13.21,12.9632091807,Sampled Ancestor Model
14,0,13.21,12.9024649502,Sampled Ancestor Model
15,0,13.21,12.9230437508,Sampled Ancestor Model
16,0,13.21,12.8659000198,Sampled Ancestor Model
17,0,13.21,12.905727131,Sampled Ancestor Model
18,0,13.21,12.9404763791,Sampled Ancestor Model
19,0,13.21,12.8974515968,Sampled Ancestor Model
20,0,13.21,12.8849333841,Sampled Ancestor Model
21,0,13.21,12.8746134336,Sampled Ancestor Model
22,0,13.21,12.8829470768,Sampled Ancestor Model
23,0,13.21,12.8867659384,Sampled Ancestor Model
24,0,13.21,12.9348954669,Sampled Ancestor Model
25,0,13.21,12.9006305132,Sampled Ancestor Model
26,0,13.21,12.9190469434,Sampled Ancestor Model
27,0,13.21,12.9419929446,Sampled Ancestor Model
28,0,13.21,12.870629059,Sampled Ancestor Model
29,0,13.21,12.9036067058,Sampled Ancestor Model
30,0,13.21,12.937478503,Sampled Ancestor Model
31,0,13.21,12.9660785183,Sampled Ancestor Model
32,0,13.21,12.8183149589,Sampled Ancestor Model
33,0,13.21,12.9463568598,Sampled Ancestor Model
34,0,13.21,12.9724080509,Sampled Ancestor Model
35,0,13.21,12.9627118402,Sampled Ancestor Model
36,0,13.21,12.972159612,Sampled Ancestor Model
37,0,13.21,12.8706607078,Sampled Ancestor Model
38,0,13.21,12.9131358002,Sampled Ancestor Model
39,0,13.21,12.9634175104,Sampled Ancestor Model
40,0,13.21,12.9044024936,Sampled Ancestor Model
41,0,13.21,12.9023085357,Sampled Ancestor Model
42,0,13.21,12.9155424792,Sampled Ancestor Model
43,0,13.21,12.9418798555,Sampled Ancestor Model
44,0,13.21,12.9343218447,Sampled Ancestor Model
45,0,13.21,12.7822051765,Sampled Ancestor Model
46,0,13.21,12.9168140608,Sampled Ancestor Model
47,0,13.21,12.9769172316,Sampled Ancestor Model
48,0,13.21,12.9356819302,Sampled Ancestor Model
49,0,13.21,12.9624736892,Sampled Ancestor Model
0,0,4.91,6.02048360295,Sampled Ancestor Model
1,0,4.91,6.18701691095,Sampled Ancestor Model
2,0,4.91,6.22978774032,Sampled Ancestor Model
3,0,4.91,5.96431209205,Sampled Ancestor Model
4,0,4.91,6.04741094685,Sampled Ancestor Model
5,0,4.91,6.03423979763,Sampled Ancestor Model
6,0,4.91,5.99945992018,Sampled Ancestor Model
7,0,4.91,6.00988604978,Sampled Ancestor Model
8,0,4.91,6.06494955795,Sampled Ancestor Model
9,0,4.91,6.04912980464,Sampled Ancestor Model
10,0,4.91,5.9507732292,Sampled Ancestor Model
11,0,4.91,5.98597119452,Sampled Ancestor Model
12,0,4.91,5.97243183071,Sampled Ancestor Model
13,0,4.91,6.04620683362,Sampled Ancestor Model
14,0,4.91,6.07940431673,Sampled Ancestor Model
15,0,4.91,6.05603062056,Sampled Ancestor Model
16,0,4.91,6.32056367226,Sampled Ancestor Model
17,0,4.91,6.44727056226,Sampled Ancestor Model
18,0,4.91,6.41754913172,Sampled Ancestor Model
19,0,4.91,6.30820374914,Sampled Ancestor Model
20,0,4.91,6.17301969088,Sampled Ancestor Model
21,0,4.91,6.09314123341,Sampled Ancestor Model
22,0,4.91,6.59874327915,Sampled Ancestor Model
23,0,4.91,6.25680663703,Sampled Ancestor Model
24,0,4.91,6.10554079415,Sampled Ancestor Model
25,0,4.91,6.05067619457,Sampled Ancestor Model
26,0,4.91,6.14694689301,Sampled Ancestor Model
27,0,4.91,6.11189609519,Sampled Ancestor Model
28,0,4.91,6.22390540017,Sampled Ancestor Model
29,0,4.91,5.87239611139,Sampled Ancestor Model
30,0,4.91,6.07789426675,Sampled Ancestor Model
31,0,4.91,5.99587580321,Sampled Ancestor Model
32,0,4.91,6.01933744717,Sampled Ancestor Model
33,0,4.91,6.07721360709,Sampled Ancestor Model
34,0,4.91,5.99738655258,Sampled Ancestor Model
35,0,4.91,6.07301988759,Sampled Ancestor Model
36,0,4.91,6.02951863421,Sampled Ancestor Model
37,0,4.91,5.94710122346,Sampled Ancestor Model
38,0,4.91,5.89626318497,Sampled Ancestor Model
39,0,4.91,6.00250707549,Sampled Ancestor Model
40,0,4.91,6.12699355629,Sampled Ancestor Model
41,0,4.91,6.24728127192,Sampled Ancestor Model
42,0,4.91,5.96197452984,Sampled Ancestor Model
43,0,4.91,5.92503878221,Sampled Ancestor Model
44,0,4.91,6.09763079719,Sampled Ancestor Model
45,0,4.91,6.01534522808,Sampled Ancestor Model
46,0,4.91,6.04983006841,Sampled Ancestor Model
47,0,4.91,5.92354346905,Sampled Ancestor Model
48,0,4.91,6.12609248807,Sampled Ancestor Model
0,0,8.07,8.95199692034,Sampled Ancestor Model
1,0,8.07,9.12148420157,Sampled Ancestor Model
2,0,8.07,8.92552864865,Sampled Ancestor Model
3,0,8.07,8.97770982823,Sampled Ancestor Model
4,0,8.07,8.93046288348,Sampled Ancestor Model
5,0,8.07,8.92543828498,Sampled Ancestor Model
6,0,8.07,8.98619297049,Sampled Ancestor Model
7,0,8.07,8.94766359381,Sampled Ancestor Model
8,0,8.07,8.95149879836,Sampled Ancestor Model
9,0,8.07,9.06299370753,Sampled Ancestor Model
10,0,8.07,9.01213782533,Sampled Ancestor Model
11,0,8.07,9.01509721574,Sampled Ancestor Model
12,0,8.07,9.14778253478,Sampled Ancestor Model
13,0,8.07,8.93047037168,Sampled Ancestor Model
14,0,8.07,8.92994110064,Sampled Ancestor Model
15,0,8.07,9.00111383809,Sampled Ancestor Model
16,0,8.07,8.95239980172,Sampled Ancestor Model
17,0,8.07,8.93163888155,Sampled Ancestor Model
18,0,8.07,8.99183038179,Sampled Ancestor Model
19,0,8.07,8.98803684926,Sampled Ancestor Model
20,0,8.07,9.01719792018,Sampled Ancestor Model
21,0,8.07,8.90951610519,Sampled Ancestor Model
22,0,8.07,8.99711543136,Sampled Ancestor Model
23,0,8.07,9.02437334826,Sampled Ancestor Model
24,0,8.07,8.94362349085,Sampled Ancestor Model
25,0,8.07,8.90817312456,Sampled Ancestor Model
26,0,8.07,8.95619903731,Sampled Ancestor Model
27,0,8.07,8.91197943818,Sampled Ancestor Model
28,0,8.07,8.99553202854,Sampled Ancestor Model
29,0,8.07,8.95505733107,Sampled Ancestor Model
30,0,8.07,8.9463220817,Sampled Ancestor Model
31,0,8.07,9.00907980631,Sampled Ancestor Model
32,0,8.07,8.9888101358,Sampled Ancestor Model
33,0,8.07,8.94886697417,Sampled Ancestor Model
34,0,8.07,8.95330313306,Sampled Ancestor Model
35,0,8.07,8.88922675116,Sampled Ancestor Model
36,0,8.07,8.97137589193,Sampled Ancestor Model
37,0,8.07,9.03161461249,Sampled Ancestor Model
38,0,8.07,8.93067760164,Sampled Ancestor Model
39,0,8.07,8.95529304541,Sampled Ancestor Model
40,0,8.07,8.96984219454,Sampled Ancestor Model
41,0,8.07,8.94068160782,Sampled Ancestor Model
0,0,17.751,17.9380413294,Sampled Ancestor Model
1,0,17.751,17.9187995886,Sampled Ancestor Model
2,0,17.751,17.9784128855,Sampled Ancestor Model
3,0,17.751,18.0764394737,Sampled Ancestor Model
4,0,17.751,18.0636616075,Sampled Ancestor Model
5,0,17.751,17.9671411299,Sampled Ancestor Model
6,0,17.751,17.9523445961,Sampled Ancestor Model
7,0,17.751,17.8771821518,Sampled Ancestor Model
8,0,17.751,18.1426147499,Sampled Ancestor Model
9,0,17.751,17.9356013226,Sampled Ancestor Model
10,0,17.751,17.945463045,Sampled Ancestor Model
11,0,17.751,18.187934542,Sampled Ancestor Model
12,0,17.751,17.9894764161,Sampled Ancestor Model
13,0,17.751,17.896448575,Sampled Ancestor Model
14,0,17.751,18.0967182681,Sampled Ancestor Model
15,0,17.751,17.9150019191,Sampled Ancestor Model
16,0,17.751,17.9219139623,Sampled Ancestor Model
17,0,17.751,17.9118238977,Sampled Ancestor Model
18,0,17.751,17.9655941313,Sampled Ancestor Model
19,0,17.751,17.9295189229,Sampled Ancestor Model
20,0,17.751,17.9260118451,Sampled Ancestor Model
21,0,17.751,17.9691162712,Sampled Ancestor Model
22,0,17.751,18.0060861819,Sampled Ancestor Model
23,0,17.751,17.9106773508,Sampled Ancestor Model
24,0,17.751,17.9197637891,Sampled Ancestor Model
25,0,17.751,17.9695684078,Sampled Ancestor Model
26,0,17.751,17.9500643782,Sampled Ancestor Model
27,0,17.751,18.1273097029,Sampled Ancestor Model
28,0,17.751,18.018763094,Sampled Ancestor Model
29,0,17.751,17.9106987804,Sampled Ancestor Model
30,0,17.751,18.057273146,Sampled Ancestor Model
31,0,17.751,17.932539615,Sampled Ancestor Model
32,0,17.751,17.9369204542,Sampled Ancestor Model
33,0,17.751,17.9260992,Sampled Ancestor Model
34,0,17.751,17.9460762916,Sampled Ancestor Model
35,0,17.751,18.1601978038,Sampled Ancestor Model
36,0,17.751,17.9186477953,Sampled Ancestor Model
37,0,17.751,17.947185416,Sampled Ancestor Model
38,0,17.751,18.0353252485,Sampled Ancestor Model
39,0,17.751,18.3899885089,Sampled Ancestor Model
40,0,17.751,18.1510598258,Sampled Ancestor Model
41,0,17.751,17.9552705817,Sampled Ancestor Model
42,0,17.751,17.8752170233,Sampled Ancestor Model
43,0,17.751,18.3099144395,Sampled Ancestor Model
44,0,17.751,18.0034430729,Sampled Ancestor Model
45,0,17.751,18.1035859769,Sampled Ancestor Model
46,0,17.751,18.1663477148,Sampled Ancestor Model
47,0,17.751,18.1252958095,Sampled Ancestor Model
48,0,17.751,18.1865803169,Sampled Ancestor Model
49,0,17.751,17.9232408819,Sampled Ancestor Model
0,0,4.64,5.98598987589,Sampled Ancestor Model
1,0,4.64,5.97330555736,Sampled Ancestor Model
2,0,4.64,5.95102319505,Sampled Ancestor Model
3,0,4.64,5.95642589162,Sampled Ancestor Model
4,0,4.64,5.80513813963,Sampled Ancestor Model
5,0,4.64,5.95795199049,Sampled Ancestor Model
6,0,4.64,5.67755440964,Sampled Ancestor Model
7,0,4.64,5.80635529325,Sampled Ancestor Model
8,0,4.64,5.90567036504,Sampled Ancestor Model
9,0,4.64,6.02073803766,Sampled Ancestor Model
10,0,4.64,5.68958493213,Sampled Ancestor Model
11,0,4.64,5.85876800143,Sampled Ancestor Model
12,0,4.64,5.98782155318,Sampled Ancestor Model
13,0,4.64,6.18403158606,Sampled Ancestor Model
14,0,4.64,5.89085239013,Sampled Ancestor Model
15,0,4.64,6.18866648273,Sampled Ancestor Model
16,0,4.64,6.07219131391,Sampled Ancestor Model
17,0,4.64,5.79310936322,Sampled Ancestor Model
18,0,4.64,5.23485411224,Sampled Ancestor Model
19,0,4.64,5.7318210743,Sampled Ancestor Model
20,0,4.64,5.91101120779,Sampled Ancestor Model
21,0,4.64,5.43875351076,Sampled Ancestor Model
22,0,4.64,5.83740674269,Sampled Ancestor Model
23,0,4.64,5.55416425448,Sampled Ancestor Model
24,0,4.64,5.61244752743,Sampled Ancestor Model
25,0,4.64,5.93040011401,Sampled Ancestor Model
26,0,4.64,5.59982929529,Sampled Ancestor Model
27,0,4.64,5.82848419258,Sampled Ancestor Model
28,0,4.64,5.83904178657,Sampled Ancestor Model
29,0,4.64,5.8942218731,Sampled Ancestor Model
30,0,4.64,5.71813907308,Sampled Ancestor Model
31,0,4.64,5.60113991254,Sampled Ancestor Model
32,0,4.64,5.93118539037,Sampled Ancestor Model
33,0,4.64,5.74218192051,Sampled Ancestor Model
34,0,4.64,5.85007814211,Sampled Ancestor Model
35,0,4.64,5.74440941541,Sampled Ancestor Model
36,0,4.64,5.86862735709,Sampled Ancestor Model
37,0,4.64,5.83207174789,Sampled Ancestor Model
38,0,4.64,5.70549359875,Sampled Ancestor Model
39,0,4.64,5.88454518193,Sampled Ancestor Model
40,0,4.64,6.03327701149,Sampled Ancestor Model
41,0,4.64,6.36156025863,Sampled Ancestor Model
42,0,4.64,6.84356709465,Sampled Ancestor Model
43,0,4.64,5.70063623016,Sampled Ancestor Model
44,0,4.64,6.33753363324,Sampled Ancestor Model
